"","category","name","price","ratings","no_of_reviews"
"30","PetSupplies","Cat Clothes, Costumes for cats, Cat Tuxedo, Cat Wedding Outfit, Cat Formal Wedding Suit Vest with 2 Removable Bow Ties, Cat T-Shirt, Cat Dresses for Sphynx, Cornish Rex, Devon Rex,Peterbald","3.",NA,"52"
"31","PetSupplies","Cat Professional Recovery Suit for Abdominal Wounds or Skin Diseases, E-Collar Alternative for Cats, After Surgery Wear, Kittens Physiological Clothes (Blue, L)","19.",NA,"174"
"32","PetSupplies","Cute Cartoon Puppy Fleece Sweatshirt Pullover Jumper Sweater for Small Medium Dogs Cat Boy Girl Yorkie Chihuahua Kitten Warm Autumn Winter Clothes,Blue,S","20.",NA,"12"
"33","PetSupplies","Dog Jumpers Sweater Winter Coats Clothes Soft Warm Dogs Hoodies Cat Knitted Pet Costume Jacket Vest Outfit for Cold Weather Apparel Small Medium Large Puppy","2.",NA,"19"
"34","PetSupplies","Cat Surgery Recovery Suit Professional Cat Post Surgery Suit Cone E-Collar Alternative For Cat Abdominal Wounds Anti Licking Pajama Suit for Small Pets Spay Kitten Soft Onesie Cat Medical Vest","9.",NA,"517"
"35","PetSupplies","Gesaofa Cat Ear Hoodies for women, Cute Cat Graphic Sweatshirts Irregular Hem 3/4 Sleeve Hooded Tunic Tops with Pockets","7.",NA,"9"
"36","PetSupplies","2-Pack Cotton Striped Dog Shirt YAODHAOD Pet Clothes Puppy T-Shirts Cat Tank Vest Tee Breathable Stretchy for Small Extra Small Medium Dog or Cat (XXL)","9.",NA,"19"
"37","PetSupplies","Puppy Dog Knitted Pullover Sweater, Turtleneck Warm Soft Knit Small Cat Sweater for Cold Weather Jumper Knitwear Pet Vest Comfortable Coat Costume Dogs (L)","9.",NA,"418"
"38","PetSupplies","Small Dog Jumpers Cute Bear Dog Cardigan Sweater for Small Dogs Boy Girl Puppy Cat Knitting Cardigan Outfits Dog Winter Coats Warm Pet Dog Clothes Soft Knitwear Apparel(Beige,XS)","5.",NA,"1"
"39","PetSupplies","Dog Clothes Pet Plush pullover Dog Sweater Soft Thickening Warm Pup Dogs Shirt Winter Puppy Sweater for Dogs Cats (apricot, L)","7.",NA,"2"
"40","PetSupplies","Girls Pyjama Set | Purple All Over Print PJs For Kids | Long Sleeve T-Shirt & Long Leg Pants | Internet Cat Loungewear Pyjama | Teens Cute Nightwear Merchandise Gift","10.",NA,"160"
"41","PetSupplies","2 Pieces Of Cat Rehabilitation Clothing, Postoperative Recovery Clothing, Anti Scratching And Anti Licking, Soft Cat Clothing, Wound Protection Clothing, Cat Vest, Pet Pajamas (Pink, Blue)","13.",NA,"26"
"42","PetSupplies","Cat Recovery Suit Cat Vest Bodysuit After Surgery Stripes Long Sleeve Cat Onesies for Cats Kitten Medical Care Cone Collar Alternatives Pet Surgical Shirt Cat Clothing Pajama Suit","6.",NA,"55"
"43","PetSupplies","Dog Jumper Winter Warm Fleece Sweater Coat for Small Dogs Soft Pullover Jacket Coat Fuzzy Puppy Clothes Cold Weather Vest Pet Girls Boys Apparel for Chihuahua Yorkie Cats Blue S","10.",NA,"2,035"
"44","PetSupplies","Pet Dog Dinosaur Costume,Dogs Halloween Costume Puppy Hoodies Coat Dog Outfits for Small Medium Dogs Cats Party Halloween Cosplay Costume Dress Up Clothes (X-Small)","4.",NA,"33"
"45","PetSupplies","Women Novelty Dress Crew Socks",NA,NA,"1,820"
"46","PetSupplies","Classic Turtleneck Dog Jumper Cat Sweater for Small Doggies Kittens, Soft Breathable Cat Jumper Warm Puppy Halloween Christmas Holiday Pet Outfits Apparel, PeacockGreen S",NA,NA,"493"
"47","PetSupplies","Dog Cat Christmas Costume, Funny Pet Cosplay Clothes Santa Claus Dog Costume Cat Apparel, Puppy Fleece Outfits Warm Hoodie Xmas Apparel Clothes Red",NA,NA,"8"
"48","PetSupplies","Womens Funny Animal Socks Ladies Cotton Socks Funky Cute Cartoon Odd Novelty Socks, Christmas Socks, 5 Pairs",NA,NA,NA
"49","PetSupplies","Check each product page for other buying options. Price and other details may vary based on product size and colour.","9.","3.9 out of 5 stars","1,119"
"50","PetSupplies","Cat Halloween Costumes Cat Surgical Recovery Suit for Abdominal Wounds or Skin Diseases,Substitute E-Collar & Cone,Cat Holiday Costume Kitten Halloween Eve Party Cat Cosplay Costume","22.","4.2 out of 5 stars","43"
"51","PetSupplies","Girls Outfit Blue Cat Printing Hoodie & Joggers Boys Sportswear Clothing Sets","6.","4.1 out of 5 stars","68"
"52","PetSupplies","Dog Pajamas Dinosaur Pjs Jumpers for Small Medium Dogs Girl Boy Fleece Lined Warm Coat Winter Pullover Puppy Chihuahua Clothes Cat Apparel 2 Legs Homewear Cold Weather Autumn Yellow M","7.","3.9 out of 5 stars","836"
"53","PetSupplies","Star Print Pet Fleece Sweatshirt Jumper Sweater Jacket for Small Dogs Cats Boy Girl Crewneck Soft Warm Winter Coat Puppy Clothes Chihuahua Yorkie,Dark Blue M","16.","4.2 out of 5 stars","50"
"54","PetSupplies","Christmas Pet Clothes Santa Dog Costume Dog Apparel Party Dressing up Clothing Winter Hoodie Coat Clothes Xmas Dog Outfits Funny Dog Costume for Pet Cat Dog Chihuahua Yorkshire Poodle, M","5.","3.9 out of 5 stars","20"
"55","PetSupplies","Cat Socks Womens - 3/5 Pairs Cute Animal Socks Cotton Cat Gifts for Cat Lovers Funny Cat Socks for Women 4-7 Birthday Gifts for Ladies Mum Her Girlfriend Girls UK","29.","4.0 out of 5 stars","13"
"56","PetSupplies","Apparel Kitty Speaker Backpack Fish-Bone Purse 3.5mm Aux","9.","3.9 out of 5 stars","308"
"57","PetSupplies","Small Dog Sweater Cat Puppy Winter Warm Coat Pet Cold Weather Cozy Fleece Clothes Cute Pullover Sweater for Small Dogs Girl Boy (X-Large, Brown)","8.","4.2 out of 5 stars","118"
"58","PetSupplies","Pet Costume, Funny Cute Pet Dog Cat Pirate Clothes Suite Outfit for Halloween Christmas Holiday Dress Up Cosplay, Party Apparel Clothing for Cat Dog Plus Hat","4.","3.8 out of 5 stars","26"
"59","PetSupplies","""Knife Cat"" Enamel Pin black cat brooch horror killer animal badge Jewelry Gothic Gift For Women Girls Children for Clothing Bag","4.","4.1 out of 5 stars","1"
"60","PetSupplies","Dog jumpers, Knitted Dog Sweater for Small Medium Dogs, Pet Knitted Pullover Winter Warm Vest, Winter Clothing and Accessories for Cat Dogs, Pet Clothes for Chihuahua Bulldog Dachshund Pug (Blue M)","8.","4.2 out of 5 stars","4"
"61","PetSupplies","Small Dog Jumper Dress with Harness Hole Black Bling Diamond Puppy Sweater Vest Cute Girl Dog Clothes Outfits for Small Medium Dogs Cats Warm Fall Winter Pet Knitwear Pullover Coats, X-Small","10.","3.9 out of 5 stars","2"
"62","PetSupplies","Cat Ear Beanie, Cute Cat Hat Y2K Cat Ears Knitted Beanie Crochet Fox Ears Hat Winter Accessory for Women Girls Beige and Brown","30.","3.8 out of 5 stars","2,703"
"63","PetSupplies","for Cats, Small","5.","4.0 out of 5 stars","274"
