"","category","name","price","ratings","no_of_reviews"
"28","PetSupplies","Cat Recovery Suit after Surgery Cat Bodysuit Medical Vest Cat Suit Post Surgery Kitten Recovery Suit after Spaying Anti Lick Suit Pet Recovery Clothing","9.",NA,"498"
"29","PetSupplies","Cat Wound Surgery Recovery Suit for Abdominal Wounds or Skin Diseases, After Surgery Wear, Pyjama Suit, E-Collar Alternative for Cats and Dogs (L, Stripe Blue)","5.",NA,"17"
"30","PetSupplies","Pet Halloween Costumes Cape Dog Cat Halloween Apparels Cosplay Costume Pet Wizard Costume Cloak for Halloween Party Cosplay Photo Prop (Red, S)","7.",NA,"1,587"
"31","PetSupplies","Small Dog Cat Winter Coat Harness Jacket with D-ring Boy Girl Pet Puppy Comfort Padded Bomber Vest No Pull Chihuahua Clothes Pink Leopard S","8.",NA,"1,784"
"32","PetSupplies","Christmas costumes,The Cowboy for Party Christmas Special Events Costume,West CowBoy Uniform with Hat, Funny Pet Cowboy Outfit Clothing for Dog Cat (S)","6.",NA,"563"
"33","PetSupplies","Small Dog Spoiled Hoodie Chihuahua Clothes for Girls Crown Puppy Tee T shirt for Cat Yorkshire Toy Poodle Pink XS","6.",NA,"5"
"34","PetSupplies","2 Pairs Cat Paw Gloves, Winter Gloves Womens Furry Paws Gloves, Kawaii Plush Warm Gloves, Half Finger Gloves Thermal Mittens For Teens Girls Halloween Cosplay (Black, Grey)","9.",NA,"1,223"
"35","PetSupplies","2 Pack Dog Jumper Fleece Warm Pet Dog Cat Sweater Pullover Soft Thickening Knitwear Puppy Kitten Sweatshirts Knitted Jacket Coat for Small Medium Dogs Hoodies Apparel (M, Purple+Blue)","8.",NA,"146"
"36","PetSupplies","Dog Jumpers Small Medium Pet Dog Cat Sweater with Legs Soft Warm Knitted Pullover Clothes Boys Girls Puppy Knitwear Cat Sweatshirt Coat Apparel (Pink,S)","4.",NA,"5"
"37","PetSupplies","Bandana, Princess Costumes Cute Lace Crown Accessories for Cats Small Dogs, Pink Outfit for Birthday Party","8.",NA,"123"
"38","PetSupplies","Dog Plush Pullover,Warm Pet Fleece Sweatshirt for Dog Cat,Winter Dog Fleece Jumpers,Puppy Kitten Chihuahua Pullover Sweater with Bear Pattern,Winter Warm Clothes for Small Medium Dogs Cats (2XL, Blue)","18.",NA,"314"
"39","PetSupplies","Recovery Suit Cat, Cat Bodysuit After Surgery, Anti-Leaking, Prevent Licking After Surgery, Weaning and Keeping Warm Recovery Cloth Suit for Cats, Dogs (M, Pink)","4.",NA,"30"
"40","PetSupplies","Thigh High Socks, Pink 3D Kitten Claw Stockings Cute Cat Paw Pad Socks for Girls Women Cat Cosplay","6.",NA,"4"
"41","PetSupplies","2 Pack Dog Shirts Small Dog Clothes Pet Shirts Puppy Fruit Printed T-Shirt Summer Thin Vest Soft Breathable Puppy Sweatshirt Cool Outfit Pyjamas Apparel for Small Dogs Puppies Cats (S)","7.",NA,"81"
"42","PetSupplies","Girls Party T-Shirt | Young Ladies Lets Pawty Birthday Cake Graphic Tee | Cute Kitty Short Sleeve Top Lightweight Internet Cat Apparel | Adorable Daywear Merchandise Gift for Children & Teens","5.",NA,"2"
